Gene.symbol,GSM738365,GSM738368,GSM738372,GSM738375,GSM738378,GSM738380
Junb,8.25915,8.03577,8.17513,8.12226,8.68572,7.98032
NA,3.29784,3.35086,3.46781,3.17976,3.12516,3.4467
Plod3,4.91553,4.4105,4.6102,4.99191,4.67639,4.74926
Aldh7a1,2.41289,2.57001,2.26619,2.47386,2.35649,2.68516
Slc38a1,7.19009,7.33368,7.15946,7.75121,7.86949,7.35673
Lpl,2.75377,2.17368,2.62383,2.35898,2.98512,3.05653
Reg1,2.1193,2.36477,2.59281,2.84473,2.28275,2.31521
Tmsb4x,13.12,13.1776,13.0664,12.9506,13.1374,13.0887
Ccnd3,8.04307,7.89257,7.80952,7.08277,7.0048,7.14639
Tspyl1,7.92144,7.78212,7.84668,7.46155,7.69661,7.49799
Stip1,8.51527,8.49521,8.6283,9.50112,8.98065,8.66762
Ciapin1,7.83123,7.91375,7.82211,7.29611,7.5167,7.72627
Impact,7.31701,7.33418,7.4298,7.37415,7.54176,7.7285
Rps13,12.6748,12.6905,12.6765,12.4372,12.6564,12.5834
Rps13,6.12289,6.32659,6.22376,6.02812,6.00148,6.07511
Hnrnpab,11.1332,11.1987,11.0845,11.1604,11.4672,11.2304
Ddx1,8.1757,8.41584,8.30767,8.55983,8.41415,8.33436
Mthfd1,6.22298,6.19511,6.072,6.01553,6.48332,5.99058
Mthfd1,5.71367,5.63003,5.42373,5.50978,5.62484,5.31599
Tpi1,6.10294,6.21008,6.24726,7.29499,7.2439,7.12894
Npdc1,2.45027,2.72169,2.59947,2.62422,2.49562,2.80409
